id,name,location
547,St. Paul's Ruins (post-fire),"St. Paul's Churchyard, City of London"
548,St. Paul's School,"near St. Paul's Cathedral, City of London"
549,Staines,"Staines, Surrey"
550,Standing's Tavern,"Fleet Street, City of London"
551,Stanmore,"Stanmore, Middlesex"
552,Stanton,"Stanton, Huntingdonshire"
553,Star Tavern,"near Navy Office, City of London"
554,Starky's Cook-shop,"Austin Friars, City of London"
555,Steelyard,"Upper Thames Street, City of London"
556,Stepney Church,"Stepney, Middlesex"
557,Stevenage,"Stevenage, Hertfordshire"
558,Stonehenge,"Salisbury Plain, Wiltshire"
559,Stratford,"Stratford, Essex"
560,Sugar Loaf (Temple Bar),"near Temple Bar, London"
561,Sun Tavern (behind Exchange),"near Royal Exchange, City of London"
562,Swan Tavern (Westminster),"Near Westminster Hall, Westminster"
563,Swede's Agent's House,"Covent Garden, Westminster"
564,Talbot Pepys's Chamber (Temple),"Temple, City of London"
565,Tangier Committee Room,"Whitehall Palace, Westminster"
566,Temple,"Fleet Street, City of London"
567,Temple Church,"Inner Temple, Fleet Street"
568,The Cocke Tavern (Suffolk Street),"Suffolk Street, London"
569,The Downs (anchorage),"off Deal, Kent"
570,The Hague,"The Hague, Netherlands"
571,The Hague - Prince of Orange's House,"The Hague, Netherlands"
572,The Hague - States General (Grande Salle),"Binnenhof, The Hague"
573,The Hope (anchorage),"Thames Estuary, Kent"
574,The Rolls (Records Office),"Chancery Lane, London"
575,The Ruby (French prize ship),"Woolwich, Kent"
576,The Wardrobe,"Carter Lane, off Ludgate Hill, City of London"
577,Theatre Royal,"Vere Street / Bridges Street, Covent Garden"
578,Three Cranes (Thames stairs),"Thames waterfront, City of London"
579,Three Mariners Tavern (Lambeth),"Lambeth, Surrey"
580,Three Tuns Tavern,Charing Cross / near Navy Office
581,Tower Chapel,Tower of London
582,Tower Hill,"Tower Hill, City of London"
583,Tower of London,"Tower Hill, City of London"
584,Tower of London - Garden,"Tower of London, Tower Hill"
585,Tower of London - Lieutenant's Lodgings,"Tower of London, Tower Hill"
586,Tower Wharf,Tower of London waterfront
587,Trinity Hall (Cambridge),"Cambridge, Cambridgeshire"
588,Trinity House,"Water Lane, Tower Street, City of London"
589,Trumpet Tavern,Westminster
590,Twickenham (Mr. Fuller's),"Twickenham, Middlesex"
591,Uncle Fenner's House,"near St. Paul's, City of London"
592,Uncle Wight's House,"Fenchurch Street area, City of London"
593,Unthank's,"Charing Cross area, Westminster"
594,Upnor Castle,"Upnor, near Chatham, Kent"
595,"Upper Exchange (temporary, post-fire)",City of London
596,Vauxhall (Foxhall),"Vauxhall, Surrey"
597,Victualling Office,"East Smithfield / Tower Hill, City of London"
598,Voorhout (The Hague),"The Hague, Netherlands"
599,W. Hewer's Lodgings,"Crutched Friars, City of London"
600,W. Joyce's House,"Tuttle Street, Westminster"
601,Walthamstow (Batten's country house),"Walthamstow, Essex"
602,Wandsworth,"Wandsworth, Surrey"
603,Wanstead,"Wanstead, Essex"
604,Wapping,"Wapping, Middlesex"
605,Wapping - Sir W. Warren's Yard,"Wapping, Middlesex"
606,Ware,"Ware, Hertfordshire"
607,Warwick House,"Holborn, London"
608,Welling,"Welling, Kent"
609,Westminster Abbey,Westminster
610,Westminster Hall,"Palace of Westminster, Westminster"
611,Whetstone's Park,"Holborn, London"
612,White Hart Tavern,London
613,White Horse Tavern,"Lombard Street, City of London"
614,Whitefriars Playhouse,"Whitefriars, City of London"
615,Whitehall - Ball Room,"Whitehall Palace, Westminster"
616,Whitehall - Banqueting House,"Whitehall Palace, Westminster"
617,Whitehall - Boarded Gallery,"Whitehall Palace, Westminster"
618,Whitehall - Chapel Lobby,"Whitehall Palace, Westminster"
619,Whitehall - Chapel Royal,"Whitehall Palace, Westminster"
620,Whitehall - Chequer Chamber,"Whitehall Palace, Westminster"
621,Whitehall - Council Chamber,"Whitehall Palace, Westminster"
622,Whitehall - Duke of York's Chamber,"Whitehall Palace, Westminster"
623,Whitehall - Duke of York's Closet,"Whitehall Palace, Westminster"
624,Whitehall - Green Room / Cabinet,"Whitehall Palace, Westminster"
625,Whitehall - Henry VIII's Gallery,"Whitehall Palace, Westminster"
626,Whitehall - King's Closet,"Whitehall Palace, Westminster"
627,Whitehall - King's Laboratory,"Whitehall Palace, Westminster"
628,Whitehall - Long Gallery,"Whitehall Palace, Westminster"
629,Whitehall - Long Matted Gallery,"Whitehall Palace, Westminster"
630,Whitehall - Matted Gallery,"Whitehall Palace, Westminster"
631,Whitehall - Mr. Chevins's Lodgings,"Whitehall Palace, Westminster"
632,Whitehall - New Playhouse,"Whitehall Palace, Westminster"
633,Whitehall - Painted Chamber,"Whitehall Palace, Westminster"
634,Whitehall - Privy Gallery,"Whitehall Palace, Westminster"
635,Whitehall - Queen's Lodgings,"Whitehall Palace, Westminster"
636,Whitehall - Queen's Presence Chamber,"Whitehall Palace, Westminster"
637,Whitehall - Scotland Yard Guard,"Scotland Yard, Whitehall"
638,Whitehall - Shield Gallery,"Whitehall Palace, Westminster"
639,Whitehall - Stone Gallery,"Whitehall Palace, Westminster"
640,Whitehall - Treasury Chamber,"Whitehall Palace, Westminster"
641,Whitehall - Vane Room,"Whitehall Palace, Westminster"
642,Whitehall Palace,Westminster
643,Whitehall Palace - Ball Room,"Whitehall Palace, Westminster"
644,Whitehall Palace - Banqueting House,"Whitehall Palace, Westminster"
645,Whitehall Palace - Bowling Green,"Whitehall Palace, Westminster"
646,Whitehall Palace - Chapel Royal,"Whitehall Palace, Westminster"
647,Whitehall Palace - Cockpit Theatre,"Whitehall Palace, Westminster"
648,Whitehall Palace - Council Chamber,"Whitehall Palace, Westminster"
649,Whitehall Palace - Duke of York's Chamber,"Whitehall Palace, Westminster"
650,Whitehall Palace - Lord Sandwich's Lodgings,"Whitehall Palace, Westminster"
651,Whitehall Palace - Matted Gallery,"Whitehall Palace, Westminster"
652,Whitehall Palace - Picture Galleries,"Whitehall Palace, Westminster"
653,Whitehall Palace - Privy Garden,"Whitehall Palace, Westminster"
654,Whitehall Palace - Queen's Presence Chamber,"Whitehall Palace, Westminster"
655,Widow Dickenson's,London
656,Wilkinson's,"near Westminster Hall, Westminster"
657,Will Joyce's House,City of London
658,Will's (Westminster),Westminster
659,Will's Coffee House (Westminster),"near Westminster Hall, Westminster"
660,William Joyce's House,"Holborn / Strand, London"
661,Wilton House,"near Salisbury, Wiltshire"
662,Wisbech,"Wisbech, Cambridgeshire"
663,Wisbech Church,"Wisbech, Cambridgeshire"
664,Woolwich (wife's lodgings at Shelden's),"Woolwich, Kent"
665,Woolwich - Ham Creek,"Woolwich area, Kent"
666,Woolwich - Mr. Shelden's House,"Woolwich, Kent"
667,Woolwich Dockyard,"Woolwich, Kent"
668,Worcester House,"Strand, Westminster"
669,World's End Tavern (Knightsbridge),"Knightsbridge, Middlesex"
670,Wotton's (shoemaker),near St. Paul's / Fleet Street
671,Yelling,"Yelling, Huntingdonshire"
672,York House,"Strand, Westminster"
